"payment","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25","var26","var27","var28","var29","var30"
"Denied","qw","bq",6.34,32.92,14.96,12.83,12.28,8.13,"nv","db","rl",1.03,"kh",3.57,-31.77,14.58,"bw",25.43,"bz",49.06,20.84,18.68,"ub",2.25,24.69,21.14,0.78,1.11,"ev",19.75
"Denied","wv","bq",3.37,29.14,35.65,11.37,2.96,14.75,"ch","db","te",14.08,"cb",2.06,6.87,11.5,"ki",12.92,"ev",3.22,16.05,32.6,"ub",7.57,22.97,7.03,6.06,0.17,"ev",11.2
"Denied","qw","py",4.3,6.05,38.39,7,1.11,2.61,"ja","db","te",11.69,"te",1.97,12.55,14.79,"bw",-15.77,"qu",34.1,4.17,-18.01,"qu",5.32,14.64,3.28,10.74,1.23,"ev",51.34
"Success","qw","rv",2.54,30.92,23.58,1.05,6.51,1.4,"ch","db","te",7.2,"te",4.11,42.95,7.13,"bw",-3.87,"qu",22.34,19.01,21.05,"ri",2.64,-1.5,16.36,2.96,0.8,"ev",7.11
"Denied","wv","bq",-1.41,20.7,-14.76,8.68,3.04,6.84,"ch","ld","te",11.35,"te",2.76,3.87,24.46,"zk",19.92,"tg",57.87,29.19,33.04,"ub",13.27,-0.35,19.09,10.8,1.41,"ev",14.58
"Success","qw","js",0.63,28.16,12.55,2.43,22.12,2.41,"ch","ld","te",7.53,"cb",5.91,12.25,8.77,"bw",3.35,"me",2.09,16.38,34.32,"ub",-2.53,-0.22,19.1,-2.84,0.61,"ev",-2.42
"Denied","qw","xn",-2.54,5.76,34.2,16.19,22.58,2.66,"ch","db","rl",2.35,"iz",4.47,40.64,-6.58,"bw",23.66,"ev",-4.02,41.77,15.32,"tf",3.69,13.43,23.53,4.66,2.19,"ev",16
"Denied","qw","rv",2.74,28.12,-26.05,1.05,7.14,2.1,"ch","db","te",10.41,"kh",1.79,-5.29,3.02,"bw",13.42,"tg",24.78,2.85,18.88,"ub",4.15,5.97,19.59,11.35,0.77,"ev",-14.34
"Denied","wv","py",5.81,-1.21,4.95,1.21,4.16,10.96,"ch","db","te",3.47,"te",3.25,10.66,9.1,"ki",30.84,"ev",33.54,30.45,30.69,"qu",2.57,19.95,2.46,0.95,0.14,"ev",10
"Success","qw","js",8.46,0.38,47.13,-2.96,-3.73,5.21,"nv","ld","te",12.96,"cb",0.95,13.09,8.02,"zk",35.61,"ev",53.15,6.37,-8.75,"ub",7.55,4.78,3.08,9.66,0.31,"ev",16.26
"Denied","qw","py",5.26,24.61,-12.82,10.96,7.79,11.13,"ch","db","rl",6.71,"cb",0.86,31.18,15.08,"bw",12.07,"bz",30.05,23.76,15.94,"tf",-2.73,9.55,15.5,-2.18,1.45,"ev",-10.99
"Denied","qw","hk",-1.65,9.45,-8.49,19.76,3.35,0.19,"ch","ld","te",4.94,"pf",-0.1,37.88,3.76,"bw",12.69,"ev",3.11,1.51,7.82,"ub",10.44,2.46,15.9,4.17,-0.3,"ev",-26.58
"Denied","qw","py",-1.38,5.24,14.81,24.96,12.27,5.98,"ch","ld","te",26.75,"cb",1.82,22.23,21.68,"bw",12.18,"me",19.02,23.74,-0.27,"qu",-2.73,14.44,14.25,10.17,1.59,"dg",23.84
"Denied","qw","hk",5.67,10.32,10.87,4.22,13.39,8.2,"ch","ld","rl",8.46,"cb",6.53,22.54,21.54,"bw",10.24,"fh",20.06,15.62,0.22,"tf",4.32,15.65,-11.36,10.79,0.84,"ev",19.5
"Success","qw","rv",1.22,-4.65,49.99,17.14,6.54,10.66,"ch","ld","te",15.11,"kh",2.5,36.08,29.74,"zk",6.88,"qu",2.82,22.99,-12.02,"ub",3,15.84,16.16,7.39,0.09,"ev",-20.35
"Denied","qw","js",1.11,1.31,23.78,-4.18,6.23,-4.94,"ja","ld","rl",-1.38,"te",3.8,23.48,-5.01,"bw",17.44,"ev",30.23,11.59,15.21,"qu",4.22,15.28,2.21,0.44,1.48,"ev",14.95
"Denied","wv","rv",9.55,0.38,-1.2,11.64,25.19,13.71,"nv","ld","te",13.4,"te",-0.52,13.4,18.92,"bw",26.7,"qu",48.69,32.23,18.61,"ub",4.26,15,21.52,-0.54,0.38,"ev",15.22
"Denied","kq","bq",1.39,-9.3,37.36,4.46,14.54,-7.6,"ch","ld","te",-7.39,"pf",0.75,21.37,0.97,"az",-6.3,"qu",9.05,0.79,1.38,"fe",4.98,14.3,-3.13,3.75,-0.08,"ev",10.15
"Success","wv","hk",6.22,10.61,13.45,9.97,13.65,10,"ch","db","te",2.22,"te",3.68,-27.36,10.38,"bw",19.19,"qu",15.82,24.47,2.77,"sy",0.82,-8.01,3.02,4.95,0.43,"ev",15.55
"Success","kq","bq",0.24,-8.67,26.43,8.73,-3.16,13.38,"ch","db","rl",-0.07,"iz",2.62,37.71,17.96,"bw",-8.92,"qu",5.55,12.44,5.41,"tf",-0.13,-8.23,39.99,0.95,0.85,"ev",14.33
"Success","wv","zg",5.25,33.79,3.93,1.13,15.45,9.1,"nv","ld","te",9.46,"cb",2.6,7.55,7.11,"ki",26.63,"ev",-11.42,-9.2,36.96,"tf",4.19,4.99,0.38,2.01,0.26,"ev",44.66
"Denied","qw","js",2.39,22.27,29.48,-3.35,13.57,6.34,"nv","db","te",4.9,"kh",4.22,51.65,13.14,"bw",33.73,"ev",20,17.9,29.83,"ri",5.81,5.15,27.56,-5.19,1.76,"ev",41.51
"Success","wv","py",4.34,2.77,-16.64,2.07,-0.51,9.77,"ch","ld","te",11.51,"cb",-0.71,9.71,8.24,"zk",36.11,"ev",-21.92,-8.3,11.88,"da",5.66,4.33,0.39,10.81,3.46,"ev",23.11
"Success","qw","py",3.12,22.01,19.55,9.52,17.71,6.11,"ja","ld","te",4.75,"kh",2.31,16.42,29.95,"bw",-1.68,"qu",25.86,19.24,38.59,"qu",-1.33,-4.17,4.49,7.2,0.18,"ev",17.96
"Success","wv","bq",5.88,5.66,17.3,-2.49,2.21,11.07,"ja","ld","rl",-5.28,"iz",2.47,2.12,34.21,"bw",26.82,"tg",42.94,47.24,21.48,"ub",5.08,-0.4,31.73,5.23,-0.78,"dg",13.7
"Denied","qw","py",4.01,11.97,15.99,9.45,14.45,11.99,"ch","ld","te",-10.17,"iz",-1.46,39.25,-5.93,"bw",34.59,"ev",29.62,32.23,46.39,"qu",11.16,3.61,17.97,10.23,1.68,"ev",15.71
"Success","ma","py",1.64,-2.57,8.22,16.13,0.51,6.79,"ch","ld","te",-2.09,"te",3.09,5.69,31.73,"bw",35.24,"ev",22.94,36.66,-9.5,"ub",3.54,4.29,13.39,4.79,0.1,"ev",19.74
"Success","qw","bq",0.14,2.11,4.16,0.82,-0.17,6.93,"ch","ld","te",20.03,"pf",6.57,27.25,26.05,"zk",9.67,"tg",10.93,15.21,21.64,"ri",4.23,3.3,15.92,-2.65,1.93,"ev",25
"Denied","qw","rv",4.42,1.2,38.59,8.26,26.18,12.48,"ch","db","te",2.15,"cb",5.23,18.2,12.16,"bw",12,"ev",-22.69,27.23,27.23,"cz",14.77,-1.25,10.73,6.08,2.51,"ev",15.78
"Success","wv","py",7.48,15.58,50.75,-6.13,5.01,4.81,"nv","db","te",7.01,"cb",1.64,37.13,3.54,"ki",12,"ev",17.11,24.28,-0.83,"ub",7.16,2.18,8.25,3.09,2.59,"ev",8.42
"Denied","wv","py",7.05,-6.12,17.74,20,7.53,0.21,"ch","ld","te",3.44,"xm",3.45,27.35,7.45,"bw",23.63,"qu",32.67,7.56,12.89,"ub",2.62,25.44,-2.26,-8.21,-1.29,"dg",-0.41
"Success","qw","hk",-0.75,22.98,38.68,21.42,-1.11,13.82,"nv","ld","rl",3.2,"te",0.49,55.91,5.23,"ki",19.52,"qu",-14.78,14.5,0.09,"ub",14.26,10.72,11.18,0.32,0.76,"ev",1.14
"Success","wv","rv",6.78,10.19,37.15,9.38,2.48,0.19,"nv","ld","te",3.25,"cb",0.77,34.01,-5.85,"bw",31.11,"qu",-2.94,19.78,7.52,"fe",13.27,-1.2,14.55,0.34,1.32,"ev",5.19
"Denied","qw","py",9.72,41.44,18.25,-0.93,17.1,17.84,"ch","db","rl",6.56,"cb",2.79,24.77,17.44,"ki",12.6,"qu",29.36,-3.84,28.27,"ri",15.96,0.49,1.46,4.89,0.76,"ev",28.57
"Denied","qw","hk",0.54,22.37,42.39,12.41,3.54,5.09,"ch","ld","te",0.22,"cb",1.45,24.5,4.45,"bw",-16.91,"tg",-2.25,17.57,12.19,"fe",5.68,9.3,19.68,0.94,1.19,"ev",-6.74
"Denied","qw","py",6.02,21.33,5.27,14.04,1.32,10.3,"ja","ld","te",11.78,"kh",-0.52,13,6.66,"ov",59.65,"tg",21.6,17.79,8.56,"tf",11.03,19.26,11.45,3.25,0.06,"ev",28.42
"Success","qw","bq",4.21,29.11,22.94,7.72,16.65,7.85,"ch","ld","te",5.97,"iz",-0.45,31.72,14.99,"zk",32.87,"bz",16.18,0.42,29.61,"tf",5.89,5.33,32.03,-0.64,1.03,"ev",5.52
"Success","qw","hk",-1.53,-18.78,-2.36,18.28,5.39,3.1,"ch","db","te",9.67,"iz",-0.96,-3.42,7.71,"zk",34.24,"ev",44.9,31.68,20.3,"tf",-1.13,-9.04,4.77,7.65,0.55,"ev",6.48
"Denied","qw","bq",2.24,30.07,14.95,18.84,-1.45,14.13,"ch","ld","rl",15.08,"cb",1.09,47.38,9.64,"ki",24.68,"me",26.84,-2.03,30.9,"ub",8.21,27.28,14.12,2.21,1.18,"ev",21.69
"Success","kq","js",1.15,27.25,1.11,19.93,4.94,10.26,"ch","pe","te",-1.9,"pf",0.8,0.54,-3.34,"zk",-17.97,"ev",37.4,38.46,7.48,"tf",9.37,4.64,7.2,9.96,1.7,"ev",6.16
"Denied","qw","rv",7.92,9.08,-5.24,2.65,13.36,7.47,"nv","ld","te",-5.6,"te",3.3,-9.42,-1.78,"bw",29.49,"qu",-5.66,34.58,5.45,"cz",8.4,12.61,7.34,1.91,2.1,"ev",5.82
"Denied","wv","hk",-3.37,21.56,11.29,4.93,11.16,17.67,"ja","ld","te",-0.46,"xm",3.71,13.56,10.5,"bw",41.16,"ev",23.76,39.39,25.24,"tf",9.19,5.27,24.72,3.03,0.66,"ev",21.32
"Denied","wv","hk",3.8,1.73,28.25,14.16,18.35,5.5,"ch","db","te",14.14,"cb",1.03,0.81,6.07,"zk",47.46,"me",-6.11,6.48,23.86,"yv",-2.68,21.45,-12.33,7.19,1.21,"ev",-11.91
"Success","wv","py",8.16,20.94,30.49,0.2,16.93,8.89,"ch","ld","rl",6.36,"kh",1.63,-23.23,3.11,"ki",56.16,"tg",13.53,17.96,-7.01,"qu",10.31,13.36,3.14,5.34,1.89,"ev",5.6
"Denied","wv","py",2.66,20.39,15.23,13.92,18.72,7.07,"ch","ld","rl",7.4,"te",2.44,-2.99,4.26,"ki",20.21,"me",30.18,-0.85,23.28,"fe",-2.88,9.15,-4.74,9.29,0.72,"ev",-16.07
"Denied","qw","bq",-1.3,8.42,15.8,6.95,5.61,12.73,"nv","ld","rl",1.72,"iz",1.26,15.46,4.12,"zk",-19.11,"qu",24.65,18.06,18.06,"fe",5.12,11.92,6.8,0.27,0.36,"ev",4.97
"Denied","qw","bq",1.51,6.38,39.89,7.71,1.32,12.04,"ja","pe","te",-2.17,"cb",5.61,8.52,8,"bw",-5.21,"me",4.95,15.95,3.68,"cz",8.08,15.87,21.34,-0.95,-0.33,"ev",3.15
"Denied","qw","hk",4.92,26.78,-4.87,6.9,-2.64,8.55,"ch","db","rl",11.1,"kh",-0.31,-7.74,0.27,"ki",13.55,"ev",13.6,-10.04,-5.04,"ub",1.89,10.97,-2.24,2.61,1.11,"ev",4.94
"Success","wv","rv",8.25,24.23,5.26,8.12,26.14,7.7,"ch","db","te",19.06,"cb",5.1,0.32,19.38,"ki",2.57,"qu",-16.48,23.22,1.43,"ri",6.87,-9.46,0.24,5.62,2.24,"ev",35.28
"Success","wv","xn",1,-4.46,10.87,2.93,24.12,2.1,"nv","pe","te",7.06,"iz",2.67,-7.44,11.58,"ki",-17.39,"qu",11.25,11.91,31.89,"ub",4.42,8.19,-0.38,0.49,1.23,"ev",9.68
"Success","kq","bq",3.24,21.06,22.07,12.75,19.81,2.37,"nv","ld","te",7.77,"cb",1.63,31.63,14.38,"zk",2.64,"ev",-24.8,-5.6,22.2,"ub",-7.75,-0.75,13.57,5,1.72,"ev",10.58
"Denied","qw","py",-0.46,11.43,44.77,15.78,9.03,0.66,"ch","ld","te",2.28,"kh",4.19,2.74,8.89,"ki",9.29,"tg",36.09,18.62,4.87,"ri",16.52,40.47,4.74,7.97,1.6,"dg",25.81
"Denied","wv","py",8.01,9.54,-2.18,7.63,20.23,8.28,"ja","db","te",6.51,"cb",-0.23,16.07,6.7,"ov",-0.24,"ev",7.63,21.25,-11.18,"ub",-4.12,11.44,10.66,-0.06,0.45,"ev",16.37
"Denied","wv","zg",3.33,-20.62,19.96,10.24,20.12,6.25,"ch","pe","te",4.42,"te",1.82,39.44,14.35,"ki",-23.6,"tg",30.41,22.52,25.96,"qu",3.92,26.39,8.37,6.41,0.28,"dg",14.38
"Denied","wv","hk",8.08,41.51,9.53,6.75,12.68,13.65,"nv","db","te",-0.67,"cb",-0.31,-9.35,21.5,"bw",-16.61,"qu",-4.37,25.49,13.94,"tf",5.5,5.45,12.47,-3.31,2.31,"ev",4.95
"Denied","ma","js",2.74,8.32,30.05,13.47,12.1,11.36,"ch","ld","rl",5.93,"iz",2.17,25.92,15.29,"bw",19.88,"qu",45.47,5.27,28.8,"da",6,11.43,14.19,0.37,0.69,"ev",30.42
"Denied","qw","py",-2.08,4.8,19.24,16.49,8.04,6.01,"nv","ld","te",2.47,"cb",2.75,-9.45,6.72,"ov",5.4,"ev",-14.36,12.29,16.11,"ub",-4.34,18.59,7.14,4.94,1.18,"ev",40
"Success","qw","js",5.13,5.98,28.39,10.96,19.2,9.77,"nv","ld","te",5.25,"np",-0.49,25.07,-10.28,"az",10.79,"bz",18.1,21.32,4.38,"cz",9.91,1.13,29.63,15.12,0.82,"ev",82.05
"Denied","wv","bq",0.99,-2.62,-0.76,4.42,8.91,0.06,"nv","ld","te",-12.27,"cb",0.53,6.1,12.94,"bw",40.35,"me",10.64,13.32,21.22,"tf",6.29,25.28,-1.69,2.91,1.81,"ev",39.99
"Success","qw","py",3.73,1.76,-3.28,0.19,9.18,-0.39,"ch","pe","te",13.12,"kh",2.07,44.14,0.98,"zk",-16.28,"ev",16.45,-6.98,11.1,"ub",4.21,9.92,0.46,5.76,-0.58,"ev",34.54
"Success","kq","bq",5.54,23.62,28.84,-5.94,13.58,-0.7,"ch","ld","te",-1.27,"cb",3.36,-13.03,13.96,"zk",-6.27,"qu",10.91,2.96,-0.32,"ub",1.94,12.17,-1.11,3.22,0.13,"ev",4.74
"Denied","qw","zg",2.88,11.53,59.72,18.94,16.75,-1.33,"ch","ld","rl",-7.66,"cb",1.93,10.97,25.53,"ov",5.92,"ev",-2.12,5.82,-4.29,"sy",11.53,13.24,15.24,10.23,2.03,"ev",7.93
"Denied","kq","js",9.9,8.17,37.35,4.07,21.48,3.17,"ch","ld","te",6.13,"kh",5.09,13.58,1.72,"bw",-2.17,"ev",14.52,19.52,-7.28,"cz",2.38,-4.18,15.66,0.97,0.89,"ev",27.71
"Success","qw","py",-2.15,6.43,-3.18,6.96,19.85,10.07,"ch","pe","te",21.15,"cb",1.85,19.79,-8.95,"zk",-10.7,"tg",22.59,9.94,25.79,"qu",-0.05,-7.98,8.77,8.99,0.38,"dg",43.82
"Success","wv","rv",0.02,18.93,45.65,-3.01,10.83,5.33,"ch","db","te",5.13,"cb",5.59,6.11,0.98,"bw",12.12,"tg",24.21,29.64,0.96,"ub",3.9,4.71,15.26,6.81,0.31,"ev",18.64
"Success","kq","hk",2.24,20.69,1.64,2.36,4.51,-4.46,"ch","db","te",12.17,"cb",3.14,20.3,6.35,"bw",28.74,"me",50.37,26.68,21.81,"ri",13.28,-8.3,38.99,4.44,1.06,"dg",-0.35
"Success","wv","py",2.04,16.95,38.38,12.61,-5.34,5.11,"ja","ld","te",6.18,"te",1.33,12.21,32.08,"zk",16.86,"qu",11.37,-0.53,22.03,"fe",4.88,4.74,-9.76,1.17,0.8,"ev",-5.6
"Denied","wv","bq",2.53,22.54,27.56,13.44,9.39,3.13,"ch","ld","te",-0.73,"cb",-0.95,34.86,8.81,"zk",39.45,"fh",18.47,20.97,3.45,"ri",12.96,4.44,16.06,4.88,1.24,"dg",-11.04
"Success","wv","py",-3.73,31,4.09,0.52,4.15,-1.89,"ch","ld","te",20.5,"cb",4.93,35.49,17.01,"bw",8.38,"me",21.17,10.51,15.94,"ub",12.42,20.2,-6.32,3.92,0.1,"ev",2.45
"Denied","qw","py",1.42,43.51,31.52,0.3,9.99,-1.97,"ch","ld","te",14.65,"te",1.04,2.8,17.45,"zk",21.1,"ev",29.88,13.13,-12.36,"tf",9.49,24.25,4.46,4.5,1.31,"dg",5.24
"Success","kq","qf",4.04,10.53,7.47,5.81,-4.52,9.4,"nv","ld","rl",7.02,"cb",4.57,-5.43,19.54,"ki",-15.85,"ev",2.9,7.94,7.22,"cz",2.37,8.95,28.58,-0.94,1.61,"ev",25.76
"Denied","qw","js",0.32,12.73,31.55,20.37,19.91,9.73,"nv","ld","te",-3.22,"te",1.27,28.88,18.8,"ov",35.67,"ev",-20.39,35.1,21.45,"ub",2.43,21.33,28.93,4.96,1.16,"ev",58.37
"Denied","qw","js",3.01,23.04,21.21,5.83,20.11,8.95,"ch","db","te",9.75,"cb",0.65,32.48,14.56,"zk",16.62,"me",10.85,27.07,7.12,"ub",2.35,21.33,6.68,4.37,1.58,"dg",3.08
"Success","wv","hk",4.34,28.34,-0.07,11.92,6.3,12.1,"nv","ld","te",9.94,"te",3.29,21.34,11.88,"bw",26.03,"qu",6.84,26.64,6.6,"ub",1.08,-0.27,33.4,9.1,2.12,"ev",13.85
"Denied","qw","py",5.29,18.51,2.49,14.18,20.29,0,"ch","ld","te",-3.38,"cb",-0.39,28.22,23.77,"bw",45.1,"qu",-10.67,-7.9,-1.04,"tf",12.52,3.88,8.63,2.22,1.02,"ev",20.49
"Denied","qw","bq",-1.49,2.32,29.56,4.05,-12.71,24.35,"ch","ld","te",3.49,"te",3.25,23.74,6.39,"bw",13.51,"ev",17.99,22.44,12.26,"sy",8.59,22.58,8.97,8.13,1.49,"ev",5.98
"Success","qw","js",1.45,8.1,24.32,11.73,13.98,12.27,"ch","ld","te",10.39,"iz",-0.27,19.64,19.17,"ki",36.73,"bz",16.91,38.6,9.68,"ub",3.52,2.78,17.52,5.96,1.01,"ev",41.16
"Denied","wv","bq",-3.46,18.13,35.24,12.98,19.5,7.5,"nv","ld","te",-5.75,"kh",4.28,-7.32,-0.1,"ki",34.46,"tg",16.59,17.39,-1.99,"tf",8.79,18.56,10.63,5.19,0.67,"ev",15.78
"Success","kq","hk",1,5.78,53.94,7.06,8.57,14.6,"nv","ld","te",7.75,"te",1.23,16.96,15.72,"zk",24.88,"ev",12.79,16.94,-4.79,"da",-2.02,11.29,9,-2.8,1.18,"ev",35.21
"Success","qw","hk",3.71,13.97,51.09,-4.44,13.36,7.59,"nv","ld","te",8.87,"iz",5.14,-0.05,12.52,"bw",45.94,"me",11.35,16.84,-11.84,"ub",1.18,-0.44,15.85,3.36,0.59,"dg",2.95
"Denied","qw","bq",2.53,-7.31,12.39,25.45,2.56,12.91,"ch","ld","te",11.29,"cb",3.9,35.78,11.18,"ki",55.25,"me",4.23,3.13,3.87,"ri",7.08,16.86,1.61,3.82,1.06,"ev",8.75
"Denied","qw","py",3.75,15.3,18.25,6.99,13.94,-4.43,"ch","db","te",0.72,"te",1.61,3.23,17.41,"bw",22.89,"qu",31.2,12.57,42.75,"ub",8.49,15.67,12.62,7.37,0.74,"ev",13.83
"Denied","wv","py",5.92,20.23,42.44,7.27,14.16,6.76,"nv","ld","rl",2.76,"iz",1.59,12.04,9.72,"bw",16.96,"tg",13.15,19.27,0.64,"fe",3.45,16.17,15.99,-0.36,1.23,"dg",16.91
"Denied","qw","bq",2.85,-14.55,11.02,5.45,-0.64,-4.41,"nv","pe","te",9.51,"iz",0.04,22.68,12.93,"zk",-13.77,"qu",14.71,11,10.86,"fe",14.25,-1.08,12.82,0.18,-0.34,"ev",16.04
"Denied","qw","py",2.2,26.87,4.46,11.56,26.79,0.41,"ch","ld","te",0.78,"iz",0.12,35.44,14.09,"ov",-0.9,"tg",-14.91,25.68,-7.31,"ub",8.1,17.09,9.99,-2.71,1.28,"ev",4.61
"Success","qw","py",6.01,21.07,-0.55,10.24,24.24,14.39,"nv","ld","te",12.55,"kh",-0.03,20.16,6.75,"bw",6.27,"tg",37.72,8.97,-12.21,"tf",7.39,18.6,22.14,3.43,1.69,"ev",42.19
"Denied","qw","bq",-1.96,13.85,7.26,2.36,8.12,3.6,"nv","ld","rl",7.11,"cb",3.91,14.95,8.13,"zk",26.84,"ev",39.57,5.67,14.55,"tf",7.72,12.69,29.27,2.13,2.02,"dg",24.13
"Denied","qw","py",-0.21,22.82,43.17,-23.63,12.54,9.37,"nv","pe","te",11.28,"te",4.24,5.24,13.68,"bw",9.4,"tg",17.8,11.54,25.7,"fe",18.98,46.24,-8.1,2.48,0.66,"ev",24.85
"Denied","qw","py",7.42,35.31,-1.5,3.11,7.95,-9.09,"ja","pe","te",8.31,"te",3.17,4.9,-10.1,"ki",-18.53,"bz",-2.23,8.5,6.61,"sy",6.84,7.06,32.79,1.74,1.23,"dg",1.26
"Denied","qw","bq",5.21,23.79,39.2,1.95,18.38,13.98,"ch","ld","te",17.88,"cb",3.03,24.93,2.6,"bw",4.92,"ev",18.74,-8.62,27.7,"tf",6.44,5.68,17.54,3.13,0.76,"ev",5.59
"Denied","qw","bq",3.38,18.62,15.36,6.84,24.28,-5.97,"ch","ld","te",2.46,"te",2.35,-6.5,28.48,"bw",14.97,"ev",17.87,5.42,19.42,"tf",9.04,15.27,16.87,9.63,-0.07,"dg",-42.72
"Denied","wv","py",0.12,18.87,-8.06,3.44,15.92,11.02,"ch","ld","te",6.77,"te",-0.84,42.03,21.12,"ki",28.61,"ev",21.36,10.04,35.03,"qu",6.83,6.21,11.56,3.47,1.21,"ev",4.25
"Denied","wv","bq",3.66,14.66,10.12,10.31,8.49,4.09,"nv","ld","rl",-3.41,"kh",2.01,1.87,10.19,"zk",-8.25,"ev",34.82,-10.92,5.23,"qu",2.22,10.88,25.66,-5.2,0.51,"ev",-2.07
"Denied","qw","js",3.78,11.41,0.98,3.33,20.53,5.48,"nv","ld","rl",14.11,"te",1.13,33.87,34.22,"zk",32.6,"qu",39.18,15.13,26.89,"qu",3.48,15.57,12.11,10.23,-0.38,"dg",26.57
"Denied","wv","js",4.57,6.49,35,5.74,18.26,22.57,"ch","ld","te",17.02,"cb",2.22,30.36,13.54,"ki",1.45,"qu",-6.36,24.51,17.69,"tf",0.97,8.61,-7.47,1.37,1.13,"ev",14.97
"Success","wv","bq",1.48,19.9,7.44,-2.27,18.77,9.41,"ch","db","te",3.37,"cb",-1.28,18.65,15.01,"ki",-13.6,"ev",-18.76,12.42,26.22,"ub",2.89,-20.51,-11.94,3.1,1.67,"ev",-24.73
"Success","qw","py",7.79,12.36,46.87,2.51,6.61,6.32,"ch","ld","te",-11.09,"te",4.66,35.39,29.36,"ki",-3.96,"me",-2.65,0.62,3.54,"ub",4.72,-3.22,27.94,4.53,2.13,"ev",37.49
"Success","qw","bq",3,24.53,33.7,11.82,22.04,9.99,"ch","db","te",8.64,"te",-0.75,72.91,11.14,"bw",16.54,"fh",3.98,22.07,3.23,"fe",15.23,-6.03,-3.93,1.99,1.18,"ev",31.28
"Denied","ma","bq",2.9,-15.01,2.5,9.2,12.28,3.64,"ch","ld","rl",5.39,"kh",1.39,8.25,10.05,"bw",13.54,"ev",12.8,34.31,11.93,"qu",2.34,12.34,30.71,14.57,0.33,"dg",24.74
"Denied","qw","py",0.36,23.64,24.33,0.1,-0.86,16.38,"ja","db","te",0.85,"kh",4.41,31.82,4.5,"ov",20.29,"fh",15.62,0.14,12.19,"tf",8.35,20.97,19.77,1.25,0.14,"ev",-3.82
"Success","qw","rv",4.31,24.24,70.17,5.47,23.07,9.82,"ch","ld","te",1.83,"iz",3.3,47.04,1.08,"zk",2.73,"ev",31.59,27.31,8.63,"qu",-2.09,-1.76,1.77,4.05,1.08,"ev",21.59
"Denied","qw","py",3.5,9.52,20.45,21.39,9.3,1.82,"ch","ld","te",9.12,"te",2.66,26.33,23.94,"ki",1.92,"qu",9.38,9.21,29.86,"ri",15.05,12.49,14.73,-2.46,0.23,"dg",12.25
"Denied","wv","js",2.72,16.03,50.93,2.69,12.8,18.3,"ch","ld","te",7.09,"cb",2.36,13.44,5.31,"bw",16.98,"ev",6.09,13.23,25.45,"ub",0.65,14.45,22.02,3.6,-0.16,"ev",41.05
"Denied","qw","py",-1.41,14.44,27.14,3.58,16.48,5.95,"ch","db","te",7.47,"cb",-0.2,-2.57,10.1,"ov",4.68,"ev",13.99,14.49,5.53,"da",6.65,21.14,6.38,0.83,1.09,"dg",36.7
"Success","kq","hk",2.7,7.27,18.14,12.74,8.68,11.68,"ch","db","te",2.69,"cb",0.84,37.97,-9.65,"ov",32.61,"ev",11.2,22.61,11.8,"tf",15.8,-19.13,18.87,5.33,1.6,"ev",42.54
"Success","qw","hk",0.89,6.16,68.88,7.32,0.12,6.52,"ch","ld","te",9.23,"te",2.83,48.16,27.15,"ki",35.17,"qu",23.28,-4.6,24.24,"ub",3.14,5.23,15.15,11.16,2.96,"dg",9.73
"Denied","kq","rv",3.4,25.2,30.88,19.44,4.14,6.2,"ch","pe","rl",-6.46,"iz",2.21,7.77,5,"ki",11.39,"me",15.7,33.92,21.39,"da",-0.41,8.54,21.56,1.96,2.43,"dg",20.44
"Success","qw","js",-0.69,5.05,43.95,5.43,2.87,-8.16,"ch","ld","rl",-3.18,"kh",5.14,36.61,9.79,"bw",39.17,"tg",30.09,18.41,22.55,"ub",17.84,2.15,3.02,1.42,1.08,"ev",3.51
"Denied","wv","py",6.04,25.63,16.89,11.89,23.83,3.59,"ch","ld","te",11.64,"cb",2.09,-1.35,10.6,"bw",8.39,"ev",25.7,23.96,16.83,"qu",1.11,4.28,4.68,-1.75,0.59,"dg",24.29
"Success","qw","py",5.68,21.6,26.41,-0.56,3.14,10.23,"ch","ld","te",3.93,"te",4.66,17.4,10.85,"bw",52.26,"ev",40.11,15.46,1.78,"tf",0.84,-18.13,35.19,0.35,1.98,"ev",8.42
"Denied","qw","py",0.8,24.87,21.89,6.93,7.75,3.2,"nv","db","te",2.44,"cb",1.77,23.8,4.88,"bw",24.42,"qu",45.68,-15.38,19.32,"tf",4.87,0.55,-3.15,3.74,1.45,"ev",12.25
"Denied","kq","hk",2.4,18.88,38.6,8.55,13.83,11.4,"ch","ld","te",18.86,"cb",-0.9,53.56,4.3,"ki",31.6,"ev",-5.42,-0.8,23.82,"qu",12.77,11.56,21.89,-3.39,1.4,"ev",19.78
"Success","ma","js",-0.42,19.81,40.83,18.22,15.04,4.71,"nv","db","rl",-0.44,"kh",2.71,17.22,0.69,"bw",-16.74,"qu",24.2,21.53,4.71,"ub",12.76,8.61,20.73,4.81,1.92,"ev",42.06
"Success","qw","bq",2.36,7.52,26.1,-3.58,-0.73,11.4,"ch","ld","rl",-4.17,"pf",2.46,15.42,6.32,"zk",28.54,"qu",62,-21.31,10.56,"da",3.28,4.59,14.7,8.12,0.71,"ev",36.73
